Title,Entry_ID
NeuRO: An Application for Code-Switched Autism Detection in Children,http://arxiv.org/abs/2406.03514v1
Combining Radiomics and Machine Learning Approaches for Objective ASD Diagnosis: Verifying White Matter Associations with ASD,http://arxiv.org/abs/2405.16248v1
Neurocomputational Phenotypes in Female and Male Autistic Individuals,http://arxiv.org/abs/2405.04248v1
Exploring Speech Pattern Disorders in Autism using Machine Learning,http://arxiv.org/abs/2405.05126v1
Exploiting ChatGPT for Diagnosing Autism-Associated Language Disorders and Identifying Distinct Features,http://arxiv.org/abs/2405.01799v1
Designing AI-Enabled Games to Support Social-Emotional Learning for Children with Autism Spectrum Disorders,http://arxiv.org/abs/2404.15576v1
Exploring Physiological Responses in Virtual Reality-based Interventions for Autism Spectrum Disorder: A Data-Driven Investigation,http://arxiv.org/abs/2404.07159v1
Localizing Moments of Actions in Untrimmed Videos of Infants with Autism Spectrum Disorder,http://arxiv.org/abs/2404.05849v1
Leveraging Machine Learning for Early Autism Detection via INDT-ASD Indian Database,http://arxiv.org/abs/2404.02181v1
Deciphering autism heterogeneity: a molecular stratification approach in four mouse models,http://arxiv.org/abs/2403.18352v1
Pilot Study to Discover Candidate Biomarkers for Autism based on Perception and Production of Facial Expressions,http://arxiv.org/abs/2404.16040v1
"Hear Me, See Me, Understand Me: Audio-Visual Autism Behavior Recognition",http://arxiv.org/abs/2406.02554v1
HyperGALE: ASD Classification via Hypergraph Gated Attention with Learnable Hyperedges,http://arxiv.org/abs/2403.14484v1
Metabolomic profiles in Jamaican children with and without autism spectrum disorder,http://arxiv.org/abs/2403.07147v1
Enhancing ASD detection accuracy: a combined approach of machine learning and deep learning models with natural language processing,http://arxiv.org/abs/2403.03581v1
Video-Based Autism Detection with Deep Learning,http://arxiv.org/abs/2402.16774v2
Speech Corpus for Korean Children with Autism Spectrum Disorder: Towards Automatic Assessment Systems,http://arxiv.org/abs/2402.15539v1
Towards scalable robotic intervention of children with Autism Spectrum Disorder using LLMs,http://arxiv.org/abs/2402.00260v1
Assessment of Autism and ADHD: A Comparative Analysis of Drawing Velocity Profiles and the NEPSY Test,http://arxiv.org/abs/2401.15685v1
Intelligibility Enhancement of Acoustic Noisy Speech for Autism Spectrum Disorder Condition,http://arxiv.org/abs/2401.11832v1
Parameter Selection for Analyzing Conversations with Autism Spectrum Disorder,http://arxiv.org/abs/2401.09717v1
Involution Fused ConvNet for Classifying Eye-Tracking Patterns of Children with Autism Spectrum Disorder,http://arxiv.org/abs/2401.03575v1
Edge Computing based Human-Robot Cognitive Fusion: A Medical Case Study in the Autism Spectrum Disorder Therapy,http://arxiv.org/abs/2401.00776v1
Effect of the social environment on olfaction and social skills in WT and mouse model of autism,http://arxiv.org/abs/2402.10212v1
Introducing SSBD+ Dataset with a Convolutional Pipeline for detecting Self-Stimulatory Behaviours in Children using raw videos,http://arxiv.org/abs/2311.15072v1
Introducing 3DCNN ResNets for ASD full-body kinematic assessment: a comparison with hand-crafted features,http://arxiv.org/abs/2311.14533v2
