Title,Entry_ID
AnoPatch: Towards Better Consistency in Machine Anomalous Sound Detection,http://arxiv.org/abs/2406.11364v1
Machine learning-based Near-field Emitter Localization via Grouped Hybrid Analog and Digital Massive MIMO Receive Array,http://arxiv.org/abs/2406.09695v1
Description and Discussion on DCASE 2024 Challenge Task 2: First-Shot Unsupervised Anomalous Sound Detection for Machine Condition Monitoring,http://arxiv.org/abs/2406.07250v1
NeuRO: An Application for Code-Switched Autism Detection in Children,http://arxiv.org/abs/2406.03514v1
Pressure Spike in The LBNF Absorber Core s Gun Drilled Cooling Channel from an Accident Beam Pulse,http://arxiv.org/abs/2405.19448v2
Benford's law in atomic spectra and opacity databases,http://arxiv.org/abs/2405.19185v1
Combining Radiomics and Machine Learning Approaches for Objective ASD Diagnosis: Verifying White Matter Associations with ASD,http://arxiv.org/abs/2405.16248v1
Agentic Skill Discovery,http://arxiv.org/abs/2405.15019v1
"In-depth analysis of LISA Pathfinder performance results: time evolution, noise projection, physical models, and implications for LISA",http://arxiv.org/abs/2405.05207v1
Utilizing Large Language Models to Generate Synthetic Data to Increase the Performance of BERT-Based Neural Networks,http://arxiv.org/abs/2405.06695v1
Neurocomputational Phenotypes in Female and Male Autistic Individuals,http://arxiv.org/abs/2405.04248v1
Exploring Speech Pattern Disorders in Autism using Machine Learning,http://arxiv.org/abs/2405.05126v1
Exploiting ChatGPT for Diagnosing Autism-Associated Language Disorders and Identifying Distinct Features,http://arxiv.org/abs/2405.01799v1
X-Oscar: A Progressive Framework for High-quality Text-guided 3D Animatable Avatar Generation,http://arxiv.org/abs/2405.00954v1
Designing AI-Enabled Games to Support Social-Emotional Learning for Children with Autism Spectrum Disorders,http://arxiv.org/abs/2404.15576v1
Exploring Physiological Responses in Virtual Reality-based Interventions for Autism Spectrum Disorder: A Data-Driven Investigation,http://arxiv.org/abs/2404.07159v1
Localizing Moments of Actions in Untrimmed Videos of Infants with Autism Spectrum Disorder,http://arxiv.org/abs/2404.05849v1
Leveraging Machine Learning for Early Autism Detection via INDT-ASD Indian Database,http://arxiv.org/abs/2404.02181v1
How Can Large Language Models Enable Better Socially Assistive Human-Robot Interaction: A Brief Survey,http://arxiv.org/abs/2404.00938v2
Enhancing Real-World Active Speaker Detection with Multi-Modal Extraction Pre-Training,http://arxiv.org/abs/2404.00861v1
Robust Active Speaker Detection in Noisy Environments,http://arxiv.org/abs/2403.19002v2
Deciphering autism heterogeneity: a molecular stratification approach in four mouse models,http://arxiv.org/abs/2403.18352v1
Pilot Study to Discover Candidate Biomarkers for Autism based on Perception and Production of Facial Expressions,http://arxiv.org/abs/2404.16040v1
"Hear Me, See Me, Understand Me: Audio-Visual Autism Behavior Recognition",http://arxiv.org/abs/2406.02554v1
HyperGALE: ASD Classification via Hypergraph Gated Attention with Learnable Hyperedges,http://arxiv.org/abs/2403.14484v1
Learnable Community-Aware Transformer for Brain Connectome Analysis with Token Clustering,http://arxiv.org/abs/2403.08203v1
Metabolomic profiles in Jamaican children with and without autism spectrum disorder,http://arxiv.org/abs/2403.07147v1
Enhancing ASD detection accuracy: a combined approach of machine learning and deep learning models with natural language processing,http://arxiv.org/abs/2403.03581v1
Magnon spectrum of altermagnets: Time-dependent matrix product states vs. linearized Holstein-Primakoff calculations unravelling spontaneous magnon decay,http://arxiv.org/abs/2402.19433v1
Video-Based Autism Detection with Deep Learning,http://arxiv.org/abs/2402.16774v2
Speech Corpus for Korean Children with Autism Spectrum Disorder: Towards Automatic Assessment Systems,http://arxiv.org/abs/2402.15539v1
Data Repository of Finite Element Models of Normal and Deformed Thoracolumbar Spine,http://arxiv.org/abs/2402.13041v1
Design of 2D Skyrmionic Metamaterial Through Controlled Assembly,http://arxiv.org/abs/2402.10874v1
Towards scalable robotic intervention of children with Autism Spectrum Disorder using LLMs,http://arxiv.org/abs/2402.00260v1
Assessment of Autism and ADHD: A Comparative Analysis of Drawing Velocity Profiles and the NEPSY Test,http://arxiv.org/abs/2401.15685v1
Analyzing the concept of technical debt in the context of agile software development: A systematic literature review,http://arxiv.org/abs/2401.14882v1
Intelligibility Enhancement of Acoustic Noisy Speech for Autism Spectrum Disorder Condition,http://arxiv.org/abs/2401.11832v1
Parameter Selection for Analyzing Conversations with Autism Spectrum Disorder,http://arxiv.org/abs/2401.09717v1
Involution Fused ConvNet for Classifying Eye-Tracking Patterns of Children with Autism Spectrum Disorder,http://arxiv.org/abs/2401.03575v1
Edge Computing based Human-Robot Cognitive Fusion: A Medical Case Study in the Autism Spectrum Disorder Therapy,http://arxiv.org/abs/2401.00776v1
On finite energy generalized Seiberg-Witten monopoles over $\mathbf R^4$ and $\mathbf R^3$,http://arxiv.org/abs/2401.00100v1
Leveraging Visual Supervision for Array-based Active Speaker Detection and Localization,http://arxiv.org/abs/2312.14021v1
Self-Supervised Learning for Anomalous Sound Detection,http://arxiv.org/abs/2312.09578v1
F1-EV Score: Measuring the Likelihood of Estimating a Good Decision Threshold for Semi-Supervised Anomaly Detection,http://arxiv.org/abs/2312.09143v1
Automated Structure Discovery for Scanning Tunneling Microscopy,http://arxiv.org/abs/2312.08854v2
Adversarial Score Distillation: When score distillation meets GAN,http://arxiv.org/abs/2312.00739v1
Automated interpretation of congenital heart disease from multi-view echocardiograms,http://arxiv.org/abs/2311.18788v1
Effect of the social environment on olfaction and social skills in WT and mouse model of autism,http://arxiv.org/abs/2402.10212v1
Introducing SSBD+ Dataset with a Convolutional Pipeline for detecting Self-Stimulatory Behaviours in Children using raw videos,http://arxiv.org/abs/2311.15072v1
